OryzaID	RXP_4001
Os01g0131600	<a target='_blank' href='http://ricexpro.dna.affrc.go.jp/RXP_4001/graph-view.php?featurenum=1710'>Os01g0131600  1710</a>
Os01g0131600	<a target='_blank' href='http://ricexpro.dna.affrc.go.jp/RXP_4001/graph-view.php?featurenum=7067'>Os01g0131600  7067</a>
Os01g0131600	<a target='_blank' href='http://ricexpro.dna.affrc.go.jp/RXP_4001/graph-view.php?featurenum=11281'>Os01g0131600  11281</a>
Os01g0131600	<a target='_blank' href='http://ricexpro.dna.affrc.go.jp/RXP_4001/graph-view.php?featurenum=17819'>Os01g0131600  17819</a>
Os01g0131600	<a target='_blank' href='http://ricexpro.dna.affrc.go.jp/RXP_4001/graph-view.php?featurenum=31421'>Os01g0131600  31421</a>
Os01g0131600	<a target='_blank' href='http://ricexpro.dna.affrc.go.jp/RXP_4001/graph-view.php?featurenum=45203'>Os01g0131600  45203</a>
Os01g0133100	<a target='_blank' href='http://ricexpro.dna.affrc.go.jp/RXP_4001/graph-view.php?featurenum=5720'>Os01g0133100  5720</a>
Os01g0133100	<a target='_blank' href='http://ricexpro.dna.affrc.go.jp/RXP_4001/graph-view.php?featurenum=16944'>Os01g0133100  16944</a>
Os01g0550200	<a target='_blank' href='http://ricexpro.dna.affrc.go.jp/RXP_4001/graph-view.php?featurenum=12479'>Os01g0550200  12479</a>
Os01g0719000	<a target='_blank' href='http://ricexpro.dna.affrc.go.jp/RXP_4001/graph-view.php?featurenum=23405'>Os01g0719000  23405</a>
Os01g0719000	<a target='_blank' href='http://ricexpro.dna.affrc.go.jp/RXP_4001/graph-view.php?featurenum=23679'>Os01g0719000  23679</a>
Os01g0719000	<a target='_blank' href='http://ricexpro.dna.affrc.go.jp/RXP_4001/graph-view.php?featurenum=26833'>Os01g0719000  26833</a>
Os01g0757600	<a target='_blank' href='http://ricexpro.dna.affrc.go.jp/RXP_4001/graph-view.php?featurenum=44402'>Os01g0757600  44402</a>
Os01g0935500	<a target='_blank' href='http://ricexpro.dna.affrc.go.jp/RXP_4001/graph-view.php?featurenum=12745'>Os01g0935500  12745</a>
Os01g0935500	<a target='_blank' href='http://ricexpro.dna.affrc.go.jp/RXP_4001/graph-view.php?featurenum=43286'>Os01g0935500  43286</a>
Os02g0104500	<a target='_blank' href='http://ricexpro.dna.affrc.go.jp/RXP_4001/graph-view.php?featurenum=44062'>Os02g0104500  44062</a>
Os02g0189200	<a target='_blank' href='http://ricexpro.dna.affrc.go.jp/RXP_4001/graph-view.php?featurenum=15182'>Os02g0189200  15182</a>
